瞓觉为真	睡觉才是
食嘢为真	吃东西才是对的。
唱你个头	唱什么唱! 
去你个头	还去什么!
今日热到唔恨	今天热得够呛。
呢餐要食到够	这一顿要吃个够。
你睇佢着得经理噉头	你看他穿的像个经理的样子
照睇好似冇行噉头噃	看来像是没有希望的样子了。
讲埋晒噉嘅嘢	尽讲这样的东西
听埋晒又到处唱嘞	都听了又到处去说了。
你唔想屋企就假嘅	你不想家才怪呢。
肚饿喇，食饭就真	肚子饿了，吃饭才是要紧的
我话行嗰边就真	我说走那一边才是对的。
呢条路行得嚟都几远呀	这条路走起来也相当远的。
红得嚟几好睇	红得相当好看。
⿰口誒都唔敢⿰口誒	不敢吭一声
⿰口誒都冇得⿰口誒	来不及吭一声。
我本书畀人⿰扌佘咗去	我的书让人偷偷拿走了。
补厣⿰糹難好至车	补丁先绷好再轧( zá) 。
呢啲谷好⿸疒谷	这些稻谷瘪得很。
你唔收声，等阵畀人㓢咗棚牙就有得睇嘞	你不住口，待一会儿让人扫了你的威风就有好看的。
㓤个窿	扎一个眼儿
㓤亲手	扎破了手。
嗰班人喺度㕪㕪测，唔知几时至做得完	那帮人在那儿磨洋工，不知什么时候才干得完。
㕪㕪𡃈噉转	绕着圈子转。
畀晒你㖞	你以为全部都给你吗? 
系啰㖞	才不是呢! 
佢叫你翻去㖞	他叫你回去
佢话噉唔好㖞	他说这样不好呢。
你睇佢咁勤力㖞	你看他多用功啊
咁贵㖞，我唔买	那么贵，我不买
哎吔，咁深㖞	哎唷，那么深哪!
你走㖞，梗快过我行啦	你跑了嘛，当然比我走快了。
乜呢件事搞得咁㖞妥	怎么这件事情搞得这么糟糕? 
佢做嘢好㖞妥嘅，你唔好靠佢	他做事很不实际，你不要依靠他。
佢好高㗎	他很高
边个㗎	谁的?
系你㗎	是你的吗? 
我哋㗎	我们的吗? 
原来噉㗎	原来是这样? 
唔通系你㗎	难道是你的吗?
咁快就做完㗎啦	这么快就做完了? 
噉就得㗎啦	这就成了吗? 
实得㗎喇	一定成的
佢改咗好多㗎喇	他改了很多了。
树仔唔淋水就会旱死㗎喇	小树不浇水就会旱死的
唔快啲就赶唔切㗎喇	不快点就来不及的了。
我用完还番畀你就得㗎喇吗	我用完了还给你就行了呗。
食到㗱㗱声	吃得咂咂地响。
佢畀大家㗾走咗	他被大家嘘走了
㗾佢	嘘他! 
唔好乱㗾	不要瞎起哄! 
